release_date,movie,production_budget,domestic_gross,worldwide_gross,approx_profit,approx_profit_perc,year_of_release,month_of_release
2006-05-12,poseidon,160000000,60674817,181674817,21674817,13.55,2006,5
2016-06-10,warcraft,160000000,47225655,425522281,265522281,165.95,2016,6
2016-09-30,deepwater horizon,156000000,61433527,122603824,-33396176,-21.41,2016,9
2010-12-10,the chronicles of narnia: the voyage of the dawn treader,155000000,104386950,418186950,263186950,169.8,2010,12
2015-07-01,terminator: genisys,155000000,89760956,432150894,277150894,178.81,2015,7
2018-03-23,pacific rim: uprising,155000000,59874525,290930148,135930148,87.7,2018,3
2004-11-24,alexander,155000000,34297191,167297191,12297191,7.93,2004,11
2017-07-14,war for the planet of the apes,152000000,146880162,489592267,337592267,222.1,2017,7
2001-05-25,pearl harbor,151500000,198539855,449239855,297739855,196.53,2001,5
2007-07-02,transformers,151000000,319246193,708272592,557272592,369.05,2007,7
2017-06-02,wonder woman,150000000,412563408,821133378,671133378,447.42,2017,6
2013-11-22,frozen,150000000,400738009,1272469910,1122469910,748.31,2013,11
2016-03-04,zootopia,150000000,341268248,1019429616,869429616,579.62,2016,3
2007-07-11,harry potter and the order of the phoenix,150000000,292137260,943076457,793076457,528.72,2007,7
2005-11-18,harry potter and the goblet of fire,150000000,290201752,897099794,747099794,498.07,2005,11
2003-05-15,the matrix reloaded,150000000,281553689,738576929,588576929,392.38,2003,5
2007-12-14,i am legend,150000000,256393010,585532684,435532684,290.36,2007,12
2016-11-23,moana,150000000,248757044,637517365,487517365,325.01,2016,11
2008-07-01,hancock,150000000,227946274,624234272,474234272,316.16,2008,7
2005-07-15,charlie and the chocolate factory,150000000,206459076,475825484,325825484,217.22,2005,7
2007-06-29,ratatouille,150000000,206445654,626549695,476549695,317.7,2007,6
2013-11-08,thor: the dark world,150000000,206362140,644602516,494602516,329.74,2013,11
2005-06-15,batman begins,150000000,205343774,359142722,209142722,139.43,2005,6
2015-07-31,mission: impossibleârogue nation,150000000,195042377,688858992,538858992,359.24,2015,7
2017-07-21,dunkirk,150000000,190068280,499837368,349837368,233.22,2017,7
2011-05-06,thor,150000000,181030624,449326618,299326618,199.55,2011,5
2008-11-07,madagascar: escape 2 africa,150000000,180174880,599680774,449680774,299.79,2008,11
2009-05-01,x-men origins: wolverine,150000000,179883157,374825760,224825760,149.88,2009,5
2009-05-22,night at the museum: battle of the smithsonian,150000000,177243721,402231063,252231063,168.15,2009,5
2011-05-26,kung fu panda 2,150000000,165249063,664837547,514837547,343.23,2011,5
2015-05-15,mad max: fury road,150000000,153636354,370098020,220098020,146.73,2015,5
2019-05-10,pokã©mon: detective pikachu,150000000,139507806,411258433,261258433,174.17,2019,5
2003-11-05,the matrix revolutions,150000000,139270910,427300260,277300260,184.87,2003,11
2018-03-29,ready player one,150000000,137690172,579290136,429290136,286.19,2018,3
2005-11-04,chicken little,150000000,135386665,310043823,160043823,106.7,2005,11
2006-05-05,mission: impossible iii,150000000,133501348,397501348,247501348,165.0,2006,5
2009-05-15,angels & demons,150000000,133375846,490875846,340875846,227.25,2009,5
2004-05-14,troy,150000000,133298577,484161265,334161265,222.77,2004,5
2010-07-01,the last airbender,150000000,131772187,319713881,169713881,113.14,2010,7
2007-11-02,bee movie,150000000,126631277,287594577,137594577,91.73,2007,11
2009-07-24,g-force,150000000,119436770,292817841,142817841,95.21,2009,7
2008-11-21,bolt,150000000,114053579,328015029,178015029,118.68,2008,11
2012-03-30,wrath of the titans,150000000,83670083,305270083,155270083,103.51,2012,3
2007-11-16,beowulf,150000000,82280579,195080579,45080579,30.05,2007,11
2012-05-11,dark shadows,150000000,79727149,238202668,88202668,58.8,2012,5
2013-06-28,white house down,150000000,73103784,205440387,55440387,36.96,2013,6
2010-02-12,the wolfman,150000000,62189884,142634358,-7365642,-4.91,2010,2
2017-02-17,the great wall,150000000,45157105,334486852,184486852,122.99,2017,2
2015-10-09,pan,150000000,35088320,151525973,1525973,1.02,2015,10
2011-03-11,mars needs moms,150000000,21392758,39549758,-110450242,-73.63,2011,3
2006-11-03,flushed away,149000000,64665672,179357126,30357126,20.37,2006,11
2012-06-08,madagascar 3: europe's most wanted,145000000,216391482,746921271,601921271,415.12,2012,6
2011-12-16,mission: impossibleâghost protocol,145000000,209397903,694713230,549713230,379.11,2011,12
2014-06-13,how to train your dragon 2,145000000,177002924,614586270,469586270,323.85,2014,6
1999-06-16,tarzan,145000000,171091819,448191819,303191819,209.1,1999,6
2014-03-07,mr. peabody & sherman,145000000,111506430,269806430,124806430,86.07,2014,3
2012-11-21,rise of the guardians,145000000,103412758,306900902,161900902,111.66,2012,11
2005-04-08,sahara,145000000,68671925,121671925,-23328075,-16.09,2005,4
2016-07-15,ghostbusters,144000000,128350574,229008658,85008658,59.03,2016,7
2002-11-22,die another day,142000000,160942139,431942139,289942139,204.18,2002,11
2003-07-09,pirates of the caribbean: the curse of the black pearl,140000000,305411224,634954103,494954103,353.54,2003,7
2009-05-08,star trek,140000000,257730019,386839614,246839614,176.31,2009,5
1998-07-01,armageddon,140000000,201578182,554600000,414600000,296.14,1998,7
2002-07-03,men in black 2,140000000,190418803,441767803,301767803,215.55,2002,7
2011-07-22,captain america: the first avenger,140000000,176654505,370569776,230569776,164.69,2011,7
2016-01-29,kung fu panda 3,140000000,143528619,517599142,377599142,269.71,2016,1
1998-07-10,lethal weapon 4,140000000,130444603,285400000,145400000,103.86,1998,7
2013-03-27,g.i. joe: retaliation,140000000,122523060,375740705,235740705,168.39,2013,3
2003-12-05,the last samurai,140000000,111110575,456810575,316810575,226.29,2003,12
2005-12-21,fun with dick and jane,140000000,110550000,203018919,63018919,45.01,2005,12
2014-12-12,exodus: gods and kings,140000000,65014513,268314513,128314513,91.65,2014,12
2016-07-01,the bfg,140000000,55483770,199646680,59646680,42.6,2016,7
2016-02-26,gods of egypt,140000000,31153464,138836756,-1163244,-0.83,2016,2
2002-05-03,spider-man,139000000,403706375,821706375,682706375,491.16,2002,5
2009-03-06,watchmen,138000000,107509799,186976250,48976250,35.49,2009,3
2005-07-29,stealth,138000000,32116746,76416746,-61583254,-44.63,2005,7
2008-06-13,the incredible hulk,137500000,134806913,265573859,128073859,93.14,2008,6
2003-06-20,hulk,137000000,132177234,245075434,108075434,78.89,2003,6
2001-07-11,final fantasy: the spirits within,137000000,32131830,85131830,-51868170,-37.86,2001,7
2012-11-16,"the twilight saga: breaking dawn, part 2",136200000,292324737,829724737,693524737,509.2,2012,11
2013-03-22,the croods,135000000,187168425,573068425,438068425,324.5,2013,3
2015-12-25,the revenant,135000000,183637894,532938302,397938302,294.77,2015,12
1999-11-19,the world is not enough,135000000,126930660,361730660,226730660,167.95,1999,11
2011-03-04,rango,135000000,123477607,245724600,110724600,82.02,2011,3
2003-11-14,master and commander: the far side of the world,135000000,93926386,212912137,77912137,57.71,2003,11
2013-07-17,turbo,135000000,83028130,286896578,151896578,112.52,2013,7
2016-06-03,teenage mutant ninja turtles: out of the shadows,135000000,82051601,245328374,110328374,81.72,2016,6
2011-11-18,happy feet two,135000000,64006466,157956466,22956466,17.0,2011,11
2006-07-28,miami vice,135000000,63478838,163818556,28818556,21.35,2006,7
2018-11-02,the nutcracker and the four realms,132900000,54858851,170293899,37393899,28.14,2018,11
2005-06-29,war of the worlds,132000000,234280354,606836535,474836535,359.72,2005,6
2014-11-26,penguins of madagascar,132000000,83350911,366942531,234942531,177.99,2014,11
2013-11-22,the hunger games: catching fire,130000000,424668047,864868047,734868047,565.28,2013,11
2004-06-04,harry potter and the prisoner of azkaban,130000000,249757726,796907323,666907323,513.01,2004,6
2007-08-03,the bourne ultimatum,130000000,227471070,444043396,314043396,241.57,2007,8
2018-07-06,ant-man and the wasp,130000000,216648740,623144660,493144660,379.34,2018,7
2008-06-06,kung fu panda,130000000,215434591,631910531,501910531,386.09,2008,6
2015-07-17,ant-man,130000000,180202163,518858449,388858449,299.12,2015,7
2015-03-27,home,130000000,177397510,385997896,255997896,196.92,2015,3
2018-12-19,mary poppins returns,130000000,171958438,341528518,211528518,162.71,2018,12
2011-10-28,puss in boots,130000000,149260504,554987477,424987477,326.91,2011,10
2010-11-05,megamind,130000000,148415853,321887208,191887208,147.61,2010,11
2003-07-18,bad boys ii,130000000,138540870,273271982,143271982,110.21,2003,7
2014-04-11,rio 2,130000000,131538435,492846291,362846291,279.11,2014,4
2010-07-23,salt,130000000,118311368,290650494,160650494,123.58,2010,7
2014-03-28,noah,130000000,101200044,352831065,222831065,171.41,2014,3
2011-12-21,the adventures of tintin,130000000,77591831,373993951,243993951,187.69,2011,12
2013-05-31,after earth,130000000,60522097,251499665,121499665,93.46,2013,5
2008-11-26,australia,130000000,49554002,215080810,85080810,65.45,2008,11
2013-07-19,r.i.p.d.,130000000,33618855,79076678,-50923322,-39.17,2013,7
2019-02-22,how to train your dragon: the hidden world,129000000,160791800,519258283,390258283,302.53,2019,2
2011-11-18,"the twilight saga: breaking dawn, part 1",127500000,281287133,689420051,561920051,440.72,2011,11
2000-05-19,dinosaur,127500000,137748063,356148063,228648063,179.33,2000,5
2017-03-03,logan,127000000,226277068,615461394,488461394,384.62,2017,3
2014-12-19,night at the museum: secret of the tomb,127000000,113746621,353756621,226756621,178.55,2014,12
2011-07-15,harry potter and the deathly hallows: part ii,125000000,381193157,1341693157,1216693157,973.35,2011,7
2014-11-21,the hunger games: mockingjay - part 1,125000000,337135885,766575131,641575131,513.26,2014,11
2001-11-16,harry potter and the sorcererâs stone,125000000,317871467,975047606,850047606,680.04,2001,11
2010-11-19,harry potter and the deathly hallows: part i,125000000,296131568,960431568,835431568,668.35,2010,11
2006-05-19,the da vinci code,125000000,217536138,767820459,642820459,514.26,2006,5
2003-05-02,x-men 2,125000000,214949694,406875536,281875536,225.5,2003,5
2011-04-29,fast five,125000000,210031325,630163454,505163454,404.13,2011,4
2014-08-08,teenage mutant ninja turtles,125000000,191204754,485004754,360004754,288.0,2014,8
2011-12-16,sherlock holmes: a game of shadows,125000000,186848418,535663443,410663443,328.53,2011,12
2004-05-28,the day after tomorrow,125000000,186740799,556319450,431319450,345.06,2004,5
2017-03-31,the boss baby,125000000,175003033,510878762,385878762,308.7,2017,3
2010-04-01,clash of the titans,125000000,163214888,493214888,368214888,294.57,2010,4
2016-11-04,trolls,125000000,153707064,344150134,219150134,175.32,2016,11
1998-05-19,godzilla,125000000,136314294,376000000,251000000,200.8,1998,5
2012-06-08,prometheus,125000000,126477084,402448265,277448265,221.96,2012,6
2012-08-10,the bourne legacy,125000000,113203870,280355920,155355920,124.28,2012,8
1997-06-20,batman & robin,125000000,107325195,238317814,113317814,90.65,1997,6
2018-07-13,skyscraper,125000000,68420120,304115534,179115534,143.29,2018,7
2012-08-03,total recall,125000000,58877969,211856088,86856088,69.48,2012,8
2016-12-21,assassinâs creed,125000000,54647948,240759682,115759682,92.61,2016,12
2017-01-13,monster trucks,125000000,33370166,61642798,-63357202,-50.69,2017,1
1999-08-27,the 13th warrior,125000000,32698899,61698899,-63301101,-50.64,1999,8
2000-11-17,how the grinch stole christmas,123000000,260044825,345141403,222141403,180.6,2000,11
2000-05-24,mission: impossible 2,120000000,215409889,549588516,429588516,357.99,2000,5
2000-06-30,the perfect storm,120000000,182618434,328711434,208711434,173.93,2000,6
2016-07-29,jason bourne,120000000,162192920,416168316,296168316,246.81,2016,7
2007-06-15,fantastic four: rise of the silver surfer,120000000,131921738,289480691,169480691,141.23,2007,6
2012-11-21,life of pi,120000000,124987022,620912003,500912003,417.43,2012,11
2007-02-16,ghost rider,120000000,115802596,229545589,109545589,91.29,2007,2
2018-04-13,rampage,120000000,101028233,428056280,308056280,256.71,2018,4
2003-06-27,charlie's angels: full throttle,120000000,100814328,227200000,107200000,89.33,2003,6
2013-08-09,elysium,120000000,93050117,286192091,166192091,138.49,2013,8
2013-04-19,oblivion,120000000,89107235,287916633,167916633,139.93,2013,4
2017-03-24,power rangers,120000000,85364450,142531552,22531552,18.78,2017,3
2002-07-19,stuart little 2,120000000,64956806,166000000,46000000,38.33,2002,7
2014-02-12,robocop,120000000,58607007,242981799,122981799,102.48,2014,2
2004-06-11,the chronicles of riddick,120000000,57712751,107212751,-12787249,-10.66,2004,6
2015-08-07,fantastic four,120000000,56117548,167849187,47849187,39.87,2015,8
2008-05-09,speed racer,120000000,43945766,93394462,-26605538,-22.17,2008,5
2005-07-22,the island,120000000,35818913,163018913,43018913,35.85,2005,7
2010-12-17,how do you know?,120000000,30212620,49628177,-70371823,-58.64,2010,12
2010-06-23,knight and day,117000000,76423035,258751370,141751370,121.16,2010,6
2018-10-05,venom,116000000,213511408,853628605,737628605,635.89,2018,10
1999-05-19,star wars ep. i: the phantom menace,115000000,474544677,1027044677,912044677,793.08,1999,5
2005-05-19,star wars ep. iii: revenge of the sith,115000000,380270577,848998877,733998877,638.26,2005,5
2002-05-16,star wars ep. ii: attack of the clones,115000000,310676740,656695615,541695615,471.04,2002,5
2001-11-02,"monsters, inc.",115000000,289423425,559757719,444757719,386.75,2001,11
2013-07-26,the wolverine,115000000,132556852,416456852,301456852,262.14,2013,7
1997-02-07,dante's peak,115000000,67163857,178200000,63200000,54.96,1997,2
2016-04-22,the huntsman: winterâs war,115000000,48003015,165149302,50149302,43.61,2016,4
2002-06-14,windtalkers,115000000,40914068,77628265,-37371735,-32.5,2002,6
2008-07-04,astã©rix aux jeux olympiques,113500000,999811,132999811,19499811,17.18,2008,7
2010-12-25,gulliver's travels,112000000,42779261,232017848,120017848,107.16,2010,12
2017-12-15,ferdinand,111000000,84410380,289847930,178847930,161.12,2017,12
2018-05-18,deadpool 2,110000000,324591735,786680557,676680557,615.16,2018,5
2013-10-04,gravity,110000000,274092705,693698673,583698673,530.64,2013,10
2006-12-22,night at the museum,110000000,250863268,579446407,469446407,426.77,2006,12
2005-06-10,mr. and mrs. smith,110000000,186336279,486124090,376124090,341.93,2005,6
2015-05-29,san andreas,110000000,155190832,456258539,346258539,314.78,2015,5
2011-07-29,the smurfs,110000000,142614158,563749323,453749323,412.5,2011,7
2007-06-27,live free or die hard,110000000,134529403,382288147,272288147,247.53,2007,6
2015-03-20,the divergent series: insurgent,110000000,130179072,295075882,185075882,168.25,2015,3
2004-12-10,ocean's twelve,110000000,125531634,362989076,252989076,229.99,2004,12
1997-12-19,tomorrow never dies,110000000,125304276,339504276,229504276,208.64,1997,12
2000-06-28,the patriot,110000000,113330342,215300000,105300000,95.73,2000,6
2014-03-07,300: rise of an empire,110000000,106580051,330780051,220780051,200.71,2014,3
2004-12-17,the aviator,110000000,102608827,208370892,98370892,89.43,2004,12
2016-12-21,passengers,110000000,100014699,302239672,192239672,174.76,2016,12
2011-01-14,the green hornet,110000000,98780042,229155503,119155503,108.32,2011,1
2016-09-30,miss peregrineâs home for peculiar children,110000000,87242834,295986876,185986876,169.08,2016,9
2011-10-07,real steel,110000000,85463309,263880341,153880341,139.89,2011,10
2010-06-11,the a-team,110000000,77222099,177241171,67241171,61.13,2010,6
2013-07-31,the smurfs 2,110000000,71017784,348547523,238547523,216.86,2013,7
2016-03-18,the divergent series: allegiant,110000000,66184051,172022517,62022517,56.38,2016,3
2009-06-12,the taking of pelham 123,110000000,65452312,152364370,42364370,38.51,2009,6
2013-11-01,ender's game,110000000,61737191,127983283,17983283,16.35,2013,11
2004-04-02,home on the range,110000000,50026353,76482461,-33517539,-30.47,2004,4
1997-06-13,speed 2: cruise control,110000000,48097081,150468000,40468000,36.79,1997,6
2005-05-06,kingdom of heaven,110000000,47398413,218853353,108853353,98.96,2005,5
2017-03-31,ghost in the shell,110000000,40563557,167910690,57910690,52.65,2017,3
2004-06-16,around the world in 80 days,110000000,24004159,72004159,-37995841,-34.54,2004,6
2019-06-14,men in black: international,110000000,3100000,3100000,-106900000,-97.18,2019,6
2001-12-19,the lord of the rings: the fellowship of the ring,109000000,315544750,887210985,778210985,713.96,2001,12
2003-11-21,the cat in the hat,109000000,101018283,133818283,24818283,22.77,2003,11
2001-12-25,ali,109000000,58183966,87683966,-21316034,-19.56,2001,12
2015-10-02,the martian,108000000,228433663,655271443,547271443,506.73,2015,10
2016-11-23,allied,106000000,40098064,119266661,13266661,12.52,2016,11
2004-07-16,"i, robot",105000000,144801023,348629585,243629585,232.03,2004,7
1999-12-17,stuart little,105000000,140015224,298815224,193815224,184.59,1999,12
2009-11-25,the princess and the frog,105000000,104400899,270997378,165997378,158.09,2009,11
2008-03-07,"10,000 b.c.",105000000,94784201,269065678,164065678,156.25,2008,3
2016-07-22,ice age: collision course,105000000,64063008,402156682,297156682,283.01,2016,7
2001-04-27,town & country,105000000,6712451,10364769,-94635231,-90.13,2001,4
2017-09-22,kingsman: the golden circle,104000000,100234838,408803696,304803696,293.08,2017,9
2000-06-09,gone in 60 seconds,103300000,101643008,232643008,129343008,125.21,2000,6
2000-05-05,gladiator,103000000,187683805,457683805,354683805,344.35,2000,5
2013-05-23,the hangover 3,103000000,112200072,362000072,259000072,251.46,2013,5
2018-03-09,a wrinkle in time,103000000,100478608,133401882,30401882,29.52,2018,3
2009-07-01,public enemies,102500000,97104620,212282709,109782709,107.11,2009,7
2006-11-17,casino royale,102000000,167365000,594420283,492420283,482.76,2006,11
2002-06-21,minority report,102000000,132024714,358824714,256824714,251.79,2002,6
2018-12-21,bumblebee,102000000,127195589,465195589,363195589,356.07,2018,12
2012-10-26,cloud atlas,102000000,27108272,130673154,28673154,28.11,2012,10
2002-11-15,harry potter and the chamber of secrets,100000000,262233381,879225135,779225135,779.23,2002,11
1991-07-02,terminator 2: judgment day,100000000,203464105,515419827,415419827,415.42,1991,7
1995-06-16,batman forever,100000000,184031112,336529144,236529144,236.53,1995,6
2001-07-27,planet of the apes,100000000,180011740,362211740,262211740,262.21,2001,7
2004-11-19,national treasure,100000000,173005002,331323410,231323410,231.32,2004,11
2012-12-25,django unchained,100000000,162805434,449948323,349948323,349.95,2012,12
2010-12-22,little fockers,100000000,148438600,310650574,210650574,210.65,2010,12
1994-07-15,true lies,100000000,146282411,365300000,265300000,265.3,1994,7
2007-11-02,american gangster,100000000,130164645,267985456,167985456,167.99,2007,11
2009-09-18,cloudy with a chance of meatballs,100000000,124870275,236827677,136827677,136.83,2009,9
2010-08-06,the other guys,100000000,119219978,170936470,70936470,70.94,2010,8
2004-12-17,lemony snicket's a series of unfortunate events,100000000,118627117,212956024,112956024,112.96,2004,12
2013-12-25,the wolf of wall street,100000000,116900694,389870414,289870414,289.87,2013,12
2013-05-24,epic,100000000,107518682,262794441,162794441,162.79,2013,5
1996-06-21,eraser,100000000,101295562,234400000,134400000,134.4,1996,6
1996-06-21,the hunchback of notre dame,100000000,100138851,325500000,225500000,225.5,1996,6
2000-12-15,the emperor's new groove,100000000,89296573,169296573,69296573,69.3,2000,12
2012-08-17,the expendables 2,100000000,85028192,311979256,211979256,211.98,2012,8
2009-10-16,where the wild things are,100000000,77233467,99123656,-876344,-0.88,2009,10
2006-12-15,eragon,100000000,75030163,249488115,149488115,149.49,2006,12
2014-07-25,hercules,100000000,72688614,243388614,143388614,143.39,2014,7
2010-12-10,the tourist,100000000,67631157,278731369,178731369,178.73,2010,12
1999-11-24,end of days,100000000,66889043,212026975,112026975,112.03,1999,11
2004-06-11,the stepford wives,100000000,59475623,96221971,-3778029,-3.78,2004,6
2007-06-08,surf's up,100000000,58867694,145395745,45395745,45.4,2007,6
2006-12-08,blood diamond,100000000,57377916,171377916,71377916,71.38,2006,12
2010-09-24,legend of the guardians: the owls of ga'hoole,100000000,55675313,139716717,39716717,39.72,2010,9
1997-11-07,starship troopers,100000000,54768952,121100000,21100000,21.1,1997,11
2009-06-05,land of the lost,100000000,49438370,69548641,-30451359,-30.45,2009,6
2003-12-25,peter pan,100000000,48417850,95255485,-4744515,-4.74,2003,12
2019-03-15,wonder park,100000000,45216793,115149422,15149422,15.15,2019,3
2004-07-23,catwoman,100000000,40202379,82145379,-17854621,-17.85,2004,7
2014-08-15,the expendables 3,100000000,39322544,209461378,109461378,109.46,2014,8
2002-11-27,treasure planet,100000000,38120554,91800000,-8200000,-8.2,2002,11
2010-03-12,green zone,100000000,35497337,97523020,-2476980,-2.48,2010,3
2017-10-20,geostorm,100000000,33700160,220796009,120796009,120.8,2017,10
2015-12-25,point break,100000000,28782481,126704591,26704591,26.7,2015,12
2015-12-11,in the heart of the sea,100000000,25020758,89693309,-10306691,-10.31,2015,12
2014-04-18,transcendence,100000000,23022309,103039258,3039258,3.04,2014,4
2005-02-18,son of the mask,100000000,17018422,59918422,-40081578,-40.08,2005,2
2018-12-14,mortal engines,100000000,15951040,85287417,-14712583,-14.71,2018,12
2002-08-16,the adventures of pluto nash,100000000,4411102,7094995,-92905005,-92.91,2002,8
2012-01-20,jin lã­ng shã­ san chai,100000000,311434,98227017,-1772983,-1.77,2012,1
2015-11-06,the peanuts movie,99000000,130178411,250091610,151091610,152.62,2015,11
2019-02-08,the lego movie 2: the second part,99000000,105806508,190325698,91325698,92.25,2019,2
2018-11-21,robin hood,99000000,30824628,84747441,-14252559,-14.4,2018,11
2001-05-04,the mummy returns,98000000,202007640,435040395,337040395,343.92,2001,5
2002-12-20,gangs of new york,97000000,77730500,183124621,86124621,88.79,2002,12
2017-05-19,alien: covenant,97000000,74262031,238521247,141521247,145.9,2017,5
2015-03-13,cinderella,95000000,201151353,534551353,439551353,462.69,2015,3
2012-07-13,ice age: continental drift,95000000,161321843,879765137,784765137,826.07,2012,7
2001-12-28,black hawk down,95000000,108638745,159691085,64691085,68.1,2001,12
2010-05-27,sex and the city 2,95000000,95347692,294680778,199680778,210.19,2010,5
2010-02-12,percy jackson & the olympians: the lightning thief,95000000,88768303,223050874,128050874,134.79,2010,2
2012-08-10,the campaign,95000000,86907746,104907746,9907746,10.43,2012,8
2010-11-12,unstoppable,95000000,81562942,165720921,70720921,74.44,2010,11
1997-05-09,the fifth element,95000000,63570862,263898761,168898761,177.79,1997,5
2000-03-31,the road to el dorado,95000000,50802661,65700000,-29300000,-30.84,2000,3
2009-12-11,the lovely bones,95000000,44114232,94894448,-105552,-0.11,2009,12
2016-08-19,ben-hur,95000000,26410477,91669648,-3330352,-3.51,2016,8
2015-02-06,seventh son,95000000,17725785,108874967,13874967,14.61,2015,2
2003-05-30,finding nemo,94000000,380529370,936429370,842429370,896.2,2003,5
2003-12-17,the lord of the rings: the return of the king,94000000,377845905,1141403341,1047403341,1114.26,2003,12
2002-12-18,the lord of the rings: the two towers,94000000,342548984,934699645,840699645,894.36,2002,12
2001-06-15,lara croft: tomb raider,94000000,131144183,273330185,179330185,190.78,2001,6
2015-02-13,kingsman: the secret service,94000000,128261724,404561724,310561724,330.38,2015,2
2001-07-18,jurassic park iii,93000000,181166115,365900000,272900000,293.44,2001,7
2011-08-05,rise of the planet of the apes,93000000,176760185,470986200,377986200,406.44,2011,8
2008-02-14,the spiderwick chronicles,92500000,71195053,162839667,70339667,76.04,2008,2
2004-11-05,the incredibles,92000000,261441092,614726752,522726752,568.18,2004,11
2013-02-14,a good day to die hard,92000000,67349198,304249198,212249198,230.71,2013,2
2004-04-09,the alamo,92000000,22406362,23911362,-68088638,-74.01,2004,4
1995-12-22,cutthroat island,92000000,10017322,18517322,-73482678,-79.87,1995,12
2013-12-25,the secret life of walter mitty,91000000,58236838,187861183,96861183,106.44,2013,12
2017-12-20,jumanji: welcome to the jungle,90000000,404508916,964496193,874496193,971.66,2017,12
1997-07-01,men in black,90000000,250690539,587790539,497790539,553.1,1997,7
1999-11-19,toy story 2,90000000,245852179,511358276,421358276,468.18,1999,11
2001-08-03,rush hour 2,90000000,226164286,347425832,257425832,286.03,2001,8
2009-12-25,sherlock holmes,90000000,209028679,498438212,408438212,453.82,2009,12
2009-07-01,ice age: dawn of the dinosaurs,90000000,196573705,859701857,769701857,855.22,2009,7
2018-12-14,spider-man: into the spider-verse 3d,90000000,190173195,375381768,285381768,317.09,2018,12
2000-07-21,what lies beneath,90000000,155464351,288693989,198693989,220.77,2000,7
2011-04-15,rio,90000000,143619809,487519809,397519809,441.69,2011,4
2006-10-06,the departed,90000000,132384315,289660619,199660619,221.85,2006,10
2000-11-03,charlie's angels,90000000,125305545,259736090,169736090,188.6,2000,11
1998-06-19,mulan,90000000,120620254,303500000,213500000,237.22,1998,6
2008-08-13,tropic thunder,90000000,110515313,191145256,101145256,112.38,2008,8
2011-12-20,the girl with the dragon tattoo,90000000,102515793,239373970,149373970,165.97,2011,12
1997-07-11,contact,90000000,100920329,165900000,75900000,84.33,1997,7
2008-06-06,you don't mess with the zohan,90000000,100018837,202910991,112910991,125.46,2008,6
1995-05-19,die hard: with a vengeance,90000000,100012499,366101666,276101666,306.78,1995,5
2016-09-23,the magnificent seven,90000000,93432655,162525156,72525156,80.58,2016,9
2015-12-18,alvin and the chipmunks: the road chip,90000000,85886987,249517956,159517956,177.24,2015,12
2001-06-08,atlantis: the lost empire,90000000,84052762,186049020,96049020,106.72,2001,6
2008-12-25,valkyrie,90000000,83107829,203932174,113932174,126.59,2008,12
2015-07-24,pixels,90000000,78765986,244041804,154041804,171.16,2015,7
2001-06-29,artificial intelligence: ai,90000000,78616689,235900000,145900000,162.11,2001,6
2003-11-26,the haunted mansion,90000000,75817994,155750628,65750628,73.06,2003,11
2000-08-04,hollow man,90000000,73209340,191200000,101200000,112.44,2000,8
2005-04-22,the interpreter,90000000,72708161,162753837,72753837,80.84,2005,4
2013-08-07,percy jackson: sea of monsters,90000000,68559554,200859554,110859554,123.18,2013,8
2003-07-25,lara croft: tomb raider: the cradle of life,90000000,65653758,157092943,67092943,74.55,2003,7
2016-06-10,now you see me 2,90000000,65075540,328325007,238325007,264.81,2016,6
2001-11-21,spy game,90000000,62362560,143049560,53049560,58.94,2001,11
1997-04-04,the saint,90000000,61363304,169400000,79400000,88.22,1997,4
2000-03-10,mission to mars,90000000,60874615,106000000,16000000,17.78,2000,3
2018-03-16,tomb raider,90000000,58250803,273477501,183477501,203.86,2018,3
1999-12-17,bicentennial man,90000000,58220776,87420776,-2579224,-2.87,1999,12
2004-07-07,king arthur,90000000,51877963,203877963,113877963,126.53,2004,7
1997-04-25,volcano,90000000,47546796,120100000,30100000,33.44,1997,4
1997-03-26,the devil's own,90000000,42885593,140900000,50900000,56.56,1997,3
2002-07-19,k-19: the widowmaker,90000000,35168966,65716126,-24283874,-26.98,2002,7
2011-08-19,conan the barbarian,90000000,21295021,63356133,-26643867,-29.6,2011,8
2011-10-21,the three musketeers,90000000,20377913,139877913,49877913,55.42,2011,10
2017-04-21,the promise,90000000,8224288,10551417,-79448583,-88.28,2017,4
2010-11-24,the nutcracker in 3d,90000000,195459,20466016,-69533984,-77.26,2010,11
1996-05-10,twister,88000000,241688385,495700000,407700000,463.3,1996,5
2005-06-03,cinderella man,88000000,61649911,105021488,17021488,19.34,2005,6
2018-09-14,the predator,88000000,51024708,159487563,71487563,81.24,2018,9
2005-07-08,fantastic four,87500000,154696080,333132750,245632750,280.72,2005,7
2001-02-09,hannibal,87000000,165092266,350100280,263100280,302.41,2001,2
2003-07-25,seabiscuit,86000000,120277854,148715342,62715342,72.92,2003,7
2000-12-22,cast away,85000000,233632142,427230516,342230516,402.62,2000,12
2006-11-17,happy feet,85000000,198000317,385000317,300000317,352.94,2006,11
2001-12-07,ocean's eleven,85000000,183417150,450728529,365728529,430.27,2001,12
2004-07-23,the bourne supremacy,85000000,176087450,311001124,226001124,265.88,2004,7
1997-07-25,air force one,85000000,172956409,315268353,230268353,270.9,1997,7
2009-04-03,fast & furious,85000000,155064265,363064265,278064265,327.13,2009,4
2008-03-14,horton hears a who,85000000,154529439,299477886,214477886,252.33,2008,3
2014-03-21,divergent,85000000,150947895,276014965,191014965,224.72,2014,3
2012-09-28,hotel transylvania,85000000,148313048,378505812,293505812,345.3,2012,9
