release_date,movie,production_budget,domestic_gross,worldwide_gross,approx_profit,approx_profit_perc,year_of_release,month_of_release
2002-09-27,wasabi,15300000,81525,7000000,-8300000,-54.25,2002,9
2006-03-31,slither,15250000,7802450,12930343,-2319657,-15.21,2006,3
1990-11-16,home alone,15000000,285761243,476684675,461684675,3077.9,1990,11
1984-12-05,beverly hills cop,15000000,234760478,316300000,301300000,2008.67,1984,12
1986-05-16,top gun,15000000,179800601,356799634,341799634,2278.66,1986,5
1982-12-17,tootsie,15000000,177200000,177200000,162200000,1081.33,1982,12
1987-11-25,3 men and a baby,15000000,167780960,167780960,152780960,1018.54,1987,11
2010-11-26,the kingâs speech,15000000,138797449,430821168,415821168,2772.14,2010,11
1999-09-15,american beauty,15000000,130058047,356258047,341258047,2275.05,1999,9
2000-12-08,"crouching tiger, hidden dragon",15000000,128067808,213514672,198514672,1323.43,2000,12
1988-12-09,twins,15000000,111936388,216600000,201600000,1344.0,1988,12
1996-12-20,scream,15000000,103046663,173046663,158046663,1053.64,1996,12
2017-08-11,annabelle: creation,15000000,102092201,305384865,290384865,1935.9,2017,8
2013-10-25,jackass presents: bad grandpa,15000000,102003019,160903019,145903019,972.69,2013,10
1978-06-28,heaven can wait,15000000,98800000,98800000,83800000,558.67,1978,6
1985-12-18,the color purple,15000000,93589701,93589701,78589701,523.93,1985,12
2014-11-28,the imitation game,15000000,91125143,227740463,212740463,1418.27,2014,11
1988-03-30,beetlejuice,15000000,73839613,73887546,58887546,392.58,1988,3
1959-11-18,ben-hur,15000000,73000000,73259017,58259017,388.39,1959,11
2013-01-18,mama,15000000,71628180,148095566,133095566,887.3,2013,1
1980-10-10,private benjamin,15000000,69847348,69847348,54847348,365.65,1980,10
1980-03-07,coal miner's daughter,15000000,67182787,67182787,52182787,347.89,1980,3
1987-03-06,lethal weapon,15000000,65192350,120192350,105192350,701.28,1987,3
2010-03-19,diary of a wimpy kid,15000000,64003625,76954311,61954311,413.03,2010,3
1983-07-29,national lampoonâs vacation,15000000,61400000,61400000,46400000,309.33,1983,7
2007-08-31,halloween,15000000,58269151,77514401,62514401,416.76,2007,8
2006-09-30,the queen,15000000,56441711,128885873,113885873,759.24,2006,9
2007-10-12,why did i get married?,15000000,55204525,55934178,40934178,272.89,2007,10
2012-02-03,the woman in black,15000000,54333290,128955898,113955898,759.71,2012,2
1994-12-21,little women,15000000,50003303,50003303,35003303,233.36,1994,12
1979-01-01,the deer hunter,15000000,50000000,50009253,35009253,233.4,1979,1
2018-08-10,blackkklansman,15000000,49275340,93017335,78017335,520.12,2018,8
2006-02-03,when a stranger calls,15000000,47860214,67215435,52215435,348.1,2006,2
2002-02-08,big fat liar,15000000,47811275,52461017,37461017,249.74,2002,2
1997-08-15,cop land,15000000,44906632,63706632,48706632,324.71,1997,8
1997-12-25,wag the dog,15000000,43057470,64252038,49252038,328.35,1997,12
2013-02-22,snitch,15000000,42930462,57907734,42907734,286.05,2013,2
2003-05-02,the lizzie mcguire movie,15000000,42734455,55534455,40534455,270.23,2003,5
2015-12-04,krampus,15000000,42725475,61788393,46788393,311.92,2015,12
2012-09-21,end of watch,15000000,41003371,57586606,42586606,283.91,2012,9
1998-12-25,the faculty,15000000,40283321,40283321,25283321,168.56,1998,12
1993-06-09,what's love got to do with it,15000000,39100956,39100956,24100956,160.67,1993,6
2001-12-14,not another teen movie,15000000,37882551,62401343,47401343,316.01,2001,12
2014-12-03,wild,15000000,37880356,52460543,37460543,249.74,2014,12
1962-12-16,lawrence of arabia,15000000,37495385,69995385,54995385,366.64,1962,12
